Image number,Square,Radius,Circumference,Alcohol concentration
5066,2039565.6,805.74,5519.1,0.0
5067,2039790.21,805.78,5523.03,0.0
5070,2055850.05,808.95,5474.01,0.0
5071,2055917.43,808.96,5474.01,0.0
5072,2055917.43,808.96,5474.01,0.0
5073,1935558.5,784.93,5278.69,0.0
5098,1903865.59,778.47,5333.26,0.0
5099,1903966.67,778.49,5336.04,0.0
51,672603.94,462.71,4726.11,0.0
5104,1986107.68,795.11,5387.36,0.0
5106,2096190.56,816.85,5683.22,0.0
5107,2096347.79,816.88,5688.77,0.0
5110,2111969.63,819.92,5610.72,0.0
5112,2112160.55,819.95,5613.5,0.0
5113,2026639.11,803.18,5512.4,0.0
5138,1980278.97,793.94,5350.59,0.0
52,672536.56,462.68,4726.11,0.0
5258,2108959.82,819.33,5963.45,0.0
5259,2109139.51,819.37,5963.45,0.0
5264,1884885.78,774.58,5277.06,0.0
5265,2087228.5,815.1,5533.18,0.0
5266,2087374.5,815.13,5535.96,0.0
5267,2087554.19,815.16,5535.96,0.0
5270,2052177.62,808.23,5509.82,0.0
5271,2052649.31,808.32,5509.82,0.0
5272,2052694.23,808.33,5509.82,0.0
5273,1912378.43,780.21,5227.37,0.0
5298,1987533.97,795.39,5535.29,0.0
5299,1987376.74,795.36,5535.29,0.0
53,720603.76,478.93,4733.69,0.0
5304,2128793.15,823.17,6074.9,0.0
5305,2104849.4,818.53,5521.21,0.0
5306,2104871.86,818.54,5521.21,0.0
5310,1991666.85,796.22,5465.29,0.0
5311,1991532.09,796.19,5465.29,0.0
5312,1991610.7,796.21,5468.06,0.0
5338,2054805.6,808.74,5677.47,0.0
5339,2054872.98,808.76,5677.47,0.0
540,1070180.36,583.65,6935.63,0.0
541,1070090.52,583.63,6935.63,0.0
543,1016475.37,568.82,6339.82,0.0
5448,2118270.03,821.14,5698.25,0.0
5460,1975270.1,792.94,5396.36,0.0
5462,1975348.71,792.95,5397.51,0.0
5463,2023550.68,802.57,5555.67,0.0
554,1072797.11,584.36,6076.52,0.0
555,1105096.47,593.1,6511.31,0.0
557,1105208.78,593.13,6511.31,0.0
568,1517463.67,695.0,5061.4,0.0
569,1516991.98,694.89,5065.33,0.0
580,1063060.13,581.71,6832.43,0.0
582,1062734.44,581.62,6825.73,0.0
583,1132083.74,600.29,8143.74,0.0
594,1144280.23,603.52,8676.29,0.0
596,1355203.16,656.79,6113.37,0.0
597,1355225.62,656.8,6113.37,0.0
608,1184553.36,614.05,7507.05,0.0
609,1184620.74,614.07,7507.05,0.0
621,1180106.02,612.89,7742.5,0.0
622,1180195.86,612.92,7742.5,0.0
623,976157.32,557.42,7279.95,0.0
634,1568428.38,706.57,5103.91,0.0
635,1288605.38,640.45,8111.3,0.0
636,1289627.37,640.7,8118.0,0.0
637,1289537.52,640.68,8114.08,0.0
741,1842647.29,765.85,5429.36,0.0
742,1842467.6,765.82,5429.36,0.0
743,2054356.37,808.65,5682.23,0.0
755,1904685.43,778.64,5567.06,0.0
756,1905471.58,778.8,5563.13,0.0
757,1905572.65,778.82,5569.83,0.0
769,1829271.58,763.07,5280.2,0.0
78,596931.79,435.9,4214.82,0.0
780,2138911.97,825.13,5984.23,0.0
781,2139057.97,825.16,5981.46,0.0
782,2138990.59,825.14,5981.46,0.0
79,596909.32,435.89,4210.9,0.0
794,2091148.0,815.86,5699.0,0.0
795,2074683.86,812.65,5655.54,0.0
796,2074751.24,812.66,5655.53,0.0
